corn,-6941.20999374
watery,-5850.66264894
water,-4683.9000045
lager,-4389.99952099
bad,-4275.71075761
metallic,-4223.94129305
bland,-3937.61933009
cardboard,-3801.81629644
nothing,-3673.69768281
boring,-3215.0573826
artificial,-2980.11339952
stale,-2966.64724159
infected,-2921.49561239
weak,-2842.48224693
grainy,-2826.18895295
pale,-2825.58006699
much,-2786.526829
weird,-2732.13691192
awful,-2689.75398526
unpleasant,-2645.92641469
thin,-2597.29965159
else,-2481.37061715
flat,-2439.00742828
worst,-2412.48651608
drain,-2346.80060344
cheap,-2318.41821358
odd,-2267.59156953
meh,-2261.69102681
terrible,-2245.77832506
horrible,-2239.54664226
grain,-2236.79838265
ginger,-2231.01701424
yellow,-2225.53477958
ok,-2205.43919319
offensive,-2202.84037627
plastic,-2132.34739155
worse,-2099.24473489
fizzy,-2084.07567974
nasty,-2079.18815713
macro,-2067.15882571
wheat,-2057.2801091
poor,-2035.03115499
garbage,-2034.27870753
average,-2032.72513824
chemical,-1961.83720393
rotten,-1952.69315311
skunky,-1919.37343315
something,-1917.94406653
corny,-1874.23977517
metal,-1829.61302298
little,-1822.06272197
light,-1806.9328106
buttery,-1804.42771145
soapy,-1795.83890097
clear,-1789.59518839
medicinal,-1783.74077363
taste,-1775.20775895
tastes,-1706.54803627
harsh,-1705.37616923
cereal,-1705.00827464
smell,-1699.55026998
gross,-1693.04332486
disappointing,-1682.21655536
way,-1674.04861105
strange,-1658.98871284
undrinkable,-1596.6120492
straw,-1555.87311259
vegetables,-1541.32053187
dirty,-1540.22754799
lemonade,-1534.02365483
wrong,-1519.95783654
apple,-1515.84440884
like,-1511.66869307
band,-1511.47687106
diacetyl,-1505.36646559
going,-1500.87278247
mess,-1489.74504463
wet,-1476.86643089
soap,-1459.17569942
standard,-1458.38353183
faint,-1458.13838239
butter,-1444.17585028
bit,-1431.57549726
piss,-1414.90218654
guess,-1391.20944929
soda,-1387.22766746
dull,-1384.80032494
acetone,-1368.95359512
crap,-1352.2466621
liquor,-1350.00483448
least,-1349.35695858
sugary,-1338.93706598
smells,-1330.24465532
carbonated,-1330.23289573
banana,-1318.8540558
didn,-1302.39146815
old,-1299.14963846
special,-1296.39797353
astringent,-1287.10877354
paper,-1275.16443873
plain,-1270.66784863
maybe,-1250.52522003
fake,-1231.24981613
kind,-1230.51781458
thing,-1226.16026739
better,-1224.10236597
infection,-1213.86359669
vomit,-1206.65763735
hate,-1204.39227685
golden,-1200.17582451
watered,-1193.11618836
grains,-1191.90281657
know,-1187.09785078
either,-1184.03985658
lacking,-1171.79129077
butterscotch,-1162.82185872
even,-1159.72880881
non,-1155.75928785
decent,-1138.8271398
vegetal,-1135.86637999
putting,-1132.17957399
grassy,-1115.17125863
tasted,-1114.04806547
unbalanced,-1103.85721506
enough,-1097.40867357
honey,-1085.81962427
anything,-1083.48470526
typical,-1078.67382968
short,-1073.20412667
vegetable,-1066.64875703
lagers,-1055.85949489
unfortunately,-1052.4785133
hay,-1051.15820422
aid,-1043.68461096
doesn,-1039.30397444
say,-1038.47504405
fan,-1033.87255578
pils,-1029.07629089
cough,-1015.37816693
vinegar,-1014.2601892
barely,-1012.5374768
cider,-1005.78833981
apples,-996.274341296
gold,-992.818762398
lemon,-991.793478028
malty,-990.016163704
disgusting,-989.586244085
blueberry,-980.831307519
amber,-980.7374632
inoffensive,-978.417992021
pass,-978.132271722
past,-976.833863437
aftertaste,-975.22218292
hard,-971.857144764
m,-970.977901116
grass,-969.553288358
blonde,-968.949239117
rubber,-965.869539326
juice,-961.178250688
paint,-948.789871318
slight,-944.213338544
sure,-942.532420074
make,-936.76939566
bready,-930.985752569
medicine,-929.827577339
get,-928.861146637
pilsner,-928.70275986
popcorn,-926.130585733
bud,-925.550082126
cold,-925.324531904
pretty,-920.01321388
mediocre,-906.660279038
basic,-903.170099881
rate,-884.957293953
wasn,-883.036350693
rice,-881.501622036
oxidized,-879.637134082
sickly,-877.123079841
less,-874.352483157
crappy,-867.970980147
papery,-865.239131331
skunk,-864.387649733
quickly,-862.680472965
small,-861.831151522
generic,-858.797541462
yuck,-857.986677651
shandy,-857.800269154
descript,-856.642235819
slightly,-855.857740309
polish,-843.988550212
name,-841.082605223
buttered,-838.268134706
extract,-836.744602759
lacks,-827.613638489
pour,-827.554062836
uninteresting,-826.171887616
beers,-814.503567091
forgettable,-812.333908006
okay,-811.660764012
got,-809.175626643
bleh,-800.356902657
chemicals,-799.039640782
blah,-793.175844501
ugh,-787.948053907
mild,-787.402757282
dms,-784.567800698
supposed,-782.354115973
phenolic,-775.407058864
nail,-772.305526837
clove,-771.791909506
buy,-764.4587881
might,-761.602786696
lifeless,-760.703507865
mash,-760.208064207
place,-757.911470894
mostly,-757.312357045
rotting,-753.89206951
rough,-753.477764717
kinda,-752.442605799
dusty,-748.657935232
rather,-747.628842299
seems,-745.417992575
work,-743.98629528
couldn,-734.202443394
isn,-731.781637742
dirt,-729.18144263
musty,-722.773887726
bread,-719.78698662
minimal,-718.689741924
gone,-716.739422828
think,-715.852646503
real,-713.445495874
oh,-712.234226689
perfume,-708.359269657
sorry,-708.025531919
sort,-707.261770051
premium,-705.94807157
glue,-701.519252575
detergent,-696.061065544
drank,-691.948365002
low,-691.339709676
carbonation,-690.105037643
description,-688.982019711
needs,-687.302640316
yeasty,-682.875895734
look,-681.714865678
wort,-681.693472434
describe,-680.838087272
fuck,-679.483254365
dishwater,-678.563794888
style,-675.673987429
somewhat,-674.775974962
coriander,-673.33529858
d,-669.918237963
bother,-662.287855532
